Sample Name,M Seqs
sample_R1,79.5
sample_R2,72.4
sample_R3,73
sample_R4,71.2
sample_R6,72
sample_R7,79.2
sample_R9,85.7
sample_R10,93.5
sample_R12,68.3
sample_R13,72.3
sample_R14,75.1
sample_R15,68.8
sample_R16,74.4
sample_R17,59
sample_R18,54.6
sample_R19,54.1
sample_R20,64.9
sample_R21,68.3
sample_R22,63.7
sample_R23,54.5
sample_R24,74.5
sample_R25,57.6
sample_R26,61.7
sample_R27,54.9
sample_R28,52.8
sample_R29,68.7
sample_R30,64.5
sample_R31,68.8
sample_R32,60.7
sample_R34,60.8
sample_R35,53.7
sample_R36,61.3
sample_R37,61.7
sample_R38,73.4
sample_R39,78.4
sample_R40,66.5
sample_R41,62.9
sample_R43,70
sample_R44,57.3
sample_R45,65.1
sample_R46,69.2
sample_R47,55.6
sample_R48,65
sample_R49,61.9
sample_R50,60.6
sample_R51,60.9
sample_R52,67
sample_R53,67
sample_R54,60.1
sample_R55,54.2
sample_R56,64.1
sample_R57,68.1
sample_R58,61.9
sample_R59,67.4
sample_R60,68.8
sample_R61,63.9
sample_R62,71.7
sample_R63,65.5
sample_R64,65.9
sample_R67,52.2
sample_R68,50.2
sample_R69,56
sample_R70,62.4
sample_R71,58.2
sample_R72,57.2
sample_R74,54.1
sample_R75,52.3
sample_R76,52.3
sample_R77,52.6
sample_R78,52.7
sample_R79,53.4
sample_R80,52.4
sample_R81,52.2
sample_R82,52.2
sample_R83,54.7
sample_R84,52.5
sample_R85,50.3
sample_R86,52.4
sample_R87,51.9
sample_R88,54
sample_R89,54.7
sample_R90,52.5
sample_R91,51.8
sample_R92,56.1